Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,148.25,148.25,143.875,145.4375,104.855347,8164300
2000-01-04,143.531204,144.0625,139.640594,139.75,100.75486,8089800
2000-01-05,139.9375,141.531204,137.25,140.0,100.935081,12177900
2000-01-06,139.625,141.5,137.75,137.75,99.312927,6227200
2000-01-07,140.3125,145.75,140.0625,145.75,105.080612,8066500
2000-01-10,146.25,146.906204,145.031204,146.25,105.441132,5741700
2000-01-11,145.8125,146.093704,143.5,144.5,104.179413,7503700
2000-01-12,144.593704,144.593704,142.875,143.0625,103.143051,6907700
2000-01-13,144.468704,145.75,143.281204,145.0,104.539909,5158300
2000-01-14,146.531204,147.468704,145.968704,146.968704,105.959251,7437300
2000-01-18,145.343704,146.625,145.1875,145.8125,105.125664,6488500
2000-01-19,145.3125,147.0,145.0,147.0,105.98185,6157900
2000-01-20,146.968704,146.968704,143.8125,144.75,104.359673,5800100
2000-01-21,145.5,145.5,144.0625,144.4375,104.134354,6244800
2000-01-24,145.656204,145.843704,139.406204,140.343704,101.182892,7896900
2000-01-25,140.515594,141.9375,139.0,141.9375,102.331993,9942500
2000-01-26,141.0,141.546799,140.093704,140.8125,101.520828,5158100
2000-01-27,141.843704,142.218704,138.125,140.25,101.115311,10922700
2000-01-28,139.4375,140.0625,135.531204,135.875,97.961136,11916200
2000-01-31,135.8125,139.671799,135.0,139.5625,100.619667,10768700
2000-02-01,139.75,141.6875,138.531204,140.9375,101.610985,8419900
2000-02-02,141.281204,142.25,140.375,141.0625,101.701118,6205900
2000-02-03,140.875,143.25,140.0,143.1875,103.233154,7997500
2000-02-04,143.1875,144.0,142.125,142.593704,102.805031,4925400
2000-02-07,142.5625,142.781204,141.4375,142.375,102.647324,5845800
2000-02-08,143.968704,144.5625,143.625,144.3125,104.044258,4936400
2000-02-09,144.468704,144.468704,141.265594,141.281204,101.858833,8511500
2000-02-10,141.625,142.5625,140.875,141.5625,102.0616,6690600
2000-02-11,141.843704,141.9375,138.031204,138.6875,99.988846,9849800
2000-02-14,139.781204,139.781204,138.3125,139.5,100.574631,8528800
2000-02-15,139.25,141.218704,137.796799,141.078094,101.712372,11078300
2000-02-16,140.375,140.9375,138.796799,139.0,100.214134,8845400
2000-02-17,140.4375,140.4375,138.218704,138.281204,99.695885,7584200
2000-02-18,138.875,138.875,134.625,135.3125,97.555557,9409200
2000-02-22,135.1875,136.343704,133.531204,134.968704,97.307693,16415400
